Irb 1   PI3Kvariant
Irb 1   _and_1
p70S6K  -1   _and_1
_and_1  1   IRS1PI3K
IRS1PI3K    1   PI3K
Irb 1   PDK2
PIP3    1   PDK1
PI3K    1   PIP3
PDK1    -1  AKT
PIP3    -1  AKT
PI3Kvariant 1   mTorC2
mTorC2  1   _and_2
AKT 1   _and_2
_and_2  1   AKTP
PDK2    1   _and_3
AKT 1   _and_3
_and_3  1   AKTP
AKTP    -1  _and_4
AKT -1  _and_4
_and_4  1   TSC12
AKTP    -1  _and_5
AKT -1  _and_5
_and_5  1   PRAS40
TSC12   -1  Rheb
PRAS40  -1  mTorC1
AA  1   _and_6
Rheb    1   _and_6
_and_6  1   _and_7
mTorC1  1   _and_7
_and_7  1   mTorC1Rags
mTorC1Rags  1   mTorC1pS2448
mTorC1pS2448    1   p70S6K
mTorC1pS2448    1   eIF4E
eIF4E   1   ProteinSynthesis
S6  1   ProteinSynthesis
p70S6K  1   ProteinSynthesis
IIGF    1   Irb
p70S6K  1   S6 
